id,name,place,start_day,end_day
326,第14回荒川河川敷対校駅伝大会,荒川河川敷,2013-12-15,2013-12-15
327,第８回上尾市陸上競技選手権大会冬季大会,上尾運動公園陸上競技場,2013-12-23,2013-12-23
328,第11回国公立23大学対校駅伝大会,,2014-01-18,2014-01-18
329,第58回調布市民駅伝競走大会,,2014-01-26,2014-01-26
330,第１回OB戦,電気通信大学多摩川グラウンド,2014-03-23,2014-03-23
331,平成25年度関東学連春季オープン競技会,上柚木公園陸上競技場,2014-03-27,2014-03-27
332,第4回東京ラビッツ陸上　春季競技会,駒沢オリンピック公園陸上競技場 ,2014-04-13,2014-04-13
333,第77回東京陸上競技選手権大会,国立霞ヶ丘競技場,2014-04-19,2014-04-19
334,第237回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2014-04-26,2014-04-26
335,第2回日本大学競技会,日本大学文理学部陸上競技場,2014-04-29,2014-04-29
336,第83回日本体育大学陸上競技会,日本体育大学健志台陸上競技場,2014-05-03,2014-05-03
337,第3回日本大学競技会,日本大学文理学部陸上競技場,2014-05-04,2014-05-04
338,第93回関東学生陸上競技対校選手権大会,熊谷スポーツ文化公園陸上競技場,2014-05-17,2014-05-17
339,第98回日本陸上競技選手権大会,とうほう・みんなのスタジアム（県営あづま陸上競技場）,2014-06-06,2014-06-06
340,第62回東京地区国公立大学対校陸上競技大会,八王子市上柚木公園陸上競技場,2014-06-07,2014-06-07
341,2014日本学生陸上競技個人選手権大会,Shonan BMW スタジアム平塚,2014-06-21,2014-06-21
342,第11回13大学対校陸上競技大会,都立大井ふ頭中央海浜公園陸上競技場,2014-06-28,2014-06-28
343,第86回日本体育大学陸上競技会,日本体育大学健志台陸上競技場,2014-07-05,2014-07-05
344,天皇賜盃第83回日本学生陸上競技対校選手権 ,熊谷スポーツ文化公園陸上競技場,2014-09-06,2014-09-06
345,第46回関東理工系学生対校陸上競技大会,埼玉県鴻巣市立陸上競技場,2014-09-14,2014-09-14
346,第87回日本体育大学陸上競技会,日本体育大学健志台陸上競技場,2014-09-20,2014-09-20
347,第6回日本大学競技会,日本大学文理学部陸上競技場,2014-09-28,2014-09-28
348,第88回日本体育大学陸上競技会,日本体育大学健志台陸上競技場,2014-10-11,2014-10-11
349,第29回 国公立24大学対校陸上競技大会,栃木県総合運動公園陸上競技場,2014-10-24,2014-10-24
350,第20回東京大学競技会,東京大学教養学部第一グラウンド,2014-11-01,2014-11-01
351,第13回かわさき陸上競技フェスティバル,町田市立陸上競技場,2014-11-03,2014-11-03
352,日本体育大学陸上競技選手権大会,日本体育大学健志台陸上競技場,2014-11-08,2014-11-08
353,第241回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2014-11-16,2014-11-16
354,第242回日本体育大学長距離記録会,日本体育大学健志台陸上競技場,2014-12-06,2014-12-06
355,第15回荒川河川敷大学対校駅伝競走大会,荒川河川敷,2014-12-21,2014-12-21
356,第12回　国公立24大学対校駅伝大会,熊谷スポーツ文化公園,2015-01-17,2015-01-17
357,第59回調布市民駅伝競走大会,味の素スタジアム,2015-01-25,2015-01-25
358,第60回昭島新春駅伝競走大会,光華小学校,2015-01-11,2015-01-11
359,立川シティハーフマラソン2015,国営昭和記念公園,2015-03-01,2015-03-01
360,平成26年度関東学連春季オープン競技会,江戸川区陸上競技場,2015-03-28,2015-03-28
361,第8回日本大学競技会,日本体育大学健志台陸上競技場,2015-03-29,2015-03-29
362,平成27年度第1回国士舘大学競技会,国士舘大学多摩陸上競技場,2015-04-04,2015-04-04
363,第49回織田幹雄記念国際陸上競技大会,エディオンスタジアム広島,2015-04-19,2015-04-19
364,第243回日本体育大学長距離記録会,日本体育大学健志台陸上競技場,2015-04-25,2015-04-25
365,第89回日本体育大学陸上競技会,日本体育大学健志台陸上競技場,2015-05-02,2015-05-02
366,第76回石川県陸上競技選手権大会,石川県西部緑地公園陸上競技場,2015-05-04,2015-05-04
